ZAT,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
1.0,2015,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,2016,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1.0,2017,2,2,1,0,0,0,0,0,0,0,0,3,0,0,3
1.0,2017,3,2,0,0,1,0,0,0,0,1,1,1,0,2,1
1.0,2017,4,2,0,2,0,0,1,0,0,1,0,1,1,3,1
1.0,2018,1,4,0,0,0,0,0,0,1,1,1,1,0,2,2
1.0,2018,2,2,0,0,0,0,1,0,1,0,0,0,0,2,0
1.0,2018,3,2,0,0,0,0,0,1,0,0,1,0,0,2,0
1.0,2018,4,5,0,0,0,0,1,1,0,1,0,2,0,1,4
1.0,2019,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2
2.0,2015,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2.0,2016,3,2,0,0,0,0,0,0,1,0,0,0,1,0,2
2.0,2016,4,2,0,0,0,0,0,1,1,0,0,0,0,1,1
2.0,2017,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,2017,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2.0,2018,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2.0,2018,3,2,0,0,0,0,2,0,0,0,0,0,0,0,2
3.0,2015,3,2,0,0,0,0,0,1,0,0,0,1,0,1,1
3.0,2016,1,2,0,0,0,0,1,0,0,0,0,1,0,1,1
3.0,2016,3,6,0,0,0,0,2,0,0,1,0,3,0,6,0
3.0,2016,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3.0,2017,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3.0,2018,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3.0,2018,2,2,0,0,0,1,1,0,0,0,0,2,0,0,3
3.0,2018,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2018,4,3,0,0,0,0,1,2,0,0,0,0,0,2,1
3.0,2019,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1
4.0,2015,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0
4.0,2016,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4.0,2016,3,2,0,1,0,0,0,0,0,1,0,2,0,2,1
4.0,2017,1,3,0,0,0,0,0,0,0,1,1,0,1,1,2
4.0,2017,2,2,0,0,0,0,1,1,0,0,0,0,0,2,0
4.0,2017,3,3,0,0,0,0,0,0,0,1,2,0,0,1,2
4.0,2017,4,7,0,0,0,0,0,2,1,0,2,2,0,2,5
4.0,2018,1,3,0,0,0,0,0,0,0,0,2,1,0,3,0
4.0,2018,2,2,0,0,0,0,0,0,1,1,0,0,0,2,0
4.0,2018,3,10,0,0,0,0,2,2,1,1,0,3,1,5,5
4.0,2018,4,5,0,0,0,0,0,1,0,2,0,2,0,4,1
4.0,2019,1,4,0,1,0,1,3,1,1,0,0,0,1,3,3
6.0,2015,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0
6.0,2017,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
6.0,2017,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2
