DP;DPNOM;DPMP;MPIO;year;area geografica;Poblacion
05;Antioquia;Medellín;05001;2005;Cabecera Municipal;1.997.763
05;Antioquia;Medellín;05001;2005;Centros Poblados y Rural Disperso;48.578
05;Antioquia;Medellín;05001;2005;Total;2.046.341
05;Antioquia;Abejorral;05002;2005;Cabecera Municipal;7.158
05;Antioquia;Abejorral;05002;2005;Centros Poblados y Rural Disperso;15.784
05;Antioquia;Abejorral;05002;2005;Total;22.942
05;Antioquia;Abriaquí;05004;2005;Cabecera Municipal;723
05;Antioquia;Abriaquí;05004;2005;Centros Poblados y Rural Disperso;1.996
05;Antioquia;Abriaquí;05004;2005;Total;2.719
05;Antioquia;Alejandría;05021;2005;Cabecera Municipal;2.137
05;Antioquia;Alejandría;05021;2005;Centros Poblados y Rural Disperso;2.587
05;Antioquia;Alejandría;05021;2005;Total;4.724
05;Antioquia;Amagá;05030;2005;Cabecera Municipal;11.998
05;Antioquia;Amagá;05030;2005;Centros Poblados y Rural Disperso;15.123
05;Antioquia;Amagá;05030;2005;Total;27.121
05;Antioquia;Amalfi;05031;2005;Cabecera Municipal;11.556
05;Antioquia;Amalfi;05031;2005;Centros Poblados y Rural Disperso;11.377
05;Antioquia;Amalfi;05031;2005;Total;22.933
05;Antioquia;Andes;05034;2005;Cabecera Municipal;17.793
05;Antioquia;Andes;05034;2005;Centros Poblados y Rural Disperso;24.083
05;Antioquia;Andes;05034;2005;Total;41.876
05;Antioquia;Angelópolis;05036;2005;Cabecera Municipal;1.830
05;Antioquia;Angelópolis;05036;2005;Centros Poblados y Rural Disperso;4.035
05;Antioquia;Angelópolis;05036;2005;Total;5.865
05;Antioquia;Angostura;05038;2005;Cabecera Municipal;2.434
05;Antioquia;Angostura;05038;2005;Centros Poblados y Rural Disperso;9.759
05;Antioquia;Angostura;05038;2005;Total;12.193
05;Antioquia;Anorí;05040;2005;Cabecera Municipal;5.622
05;Antioquia;Anorí;05040;2005;Centros Poblados y Rural Disperso;10.231
05;Antioquia;Anorí;05040;2005;Total;15.853
05;Antioquia;Santafé de Antioquia;05042;2005;Cabecera Municipal;13.187
05;Antioquia;Santafé de Antioquia;05042;2005;Centros Poblados y Rural Disperso;10.270
05;Antioquia;Santafé de Antioquia;05042;2005;Total;23.457
05;Antioquia;Anzá;05044;2005;Cabecera Municipal;1.081
05;Antioquia;Anzá;05044;2005;Centros Poblados y Rural Disperso;5.749
05;Antioquia;Anzá;05044;2005;Total;6.830
05;Antioquia;Apartadó;05045;2005;Cabecera Municipal;71.208
05;Antioquia;Apartadó;05045;2005;Centros Poblados y Rural Disperso;20.469
05;Antioquia;Apartadó;05045;2005;Total;91.677
05;Antioquia;Arboletes;05051;2005;Cabecera Municipal;8.518
05;Antioquia;Arboletes;05051;2005;Centros Poblados y Rural Disperso;20.711
05;Antioquia;Arboletes;05051;2005;Total;29.229
05;Antioquia;Argelia;05055;2005;Cabecera Municipal;3.018
05;Antioquia;Argelia;05055;2005;Centros Poblados y Rural Disperso;6.571
05;Antioquia;Argelia;05055;2005;Total;9.589
05;Antioquia;Armenia;05059;2005;Cabecera Municipal;1.667
05;Antioquia;Armenia;05059;2005;Centros Poblados y Rural Disperso;4.297
05;Antioquia;Armenia;05059;2005;Total;5.964
05;Antioquia;Barbosa;05079;2005;Cabecera Municipal;17.486
05;Antioquia;Barbosa;05079;2005;Centros Poblados y Rural Disperso;26.118
05;Antioquia;Barbosa;05079;2005;Total;43.604
05;Antioquia;Belmira;05086;2005;Cabecera Municipal;1.570
05;Antioquia;Belmira;05086;2005;Centros Poblados y Rural Disperso;4.345
05;Antioquia;Belmira;05086;2005;Total;5.915
05;Antioquia;Bello;05088;2005;Cabecera Municipal;380.511
05;Antioquia;Bello;05088;2005;Centros Poblados y Rural Disperso;19.287
05;Antioquia;Bello;05088;2005;Total;399.798
05;Antioquia;Betania;05091;2005;Cabecera Municipal;3.702
05;Antioquia;Betania;05091;2005;Centros Poblados y Rural Disperso;7.812
05;Antioquia;Betania;05091;2005;Total;11.514
05;Antioquia;Betulia;05093;2005;Cabecera Municipal;3.898
05;Antioquia;Betulia;05093;2005;Centros Poblados y Rural Disperso;11.731
05;Antioquia;Betulia;05093;2005;Total;15.629
05;Antioquia;Ciudad Bolívar;05101;2005;Cabecera Municipal;14.894
05;Antioquia;Ciudad Bolívar;05101;2005;Centros Poblados y Rural Disperso;12.452
05;Antioquia;Ciudad Bolívar;05101;2005;Total;27.346
05;Antioquia;Briceño;05107;2005;Cabecera Municipal;1.993
05;Antioquia;Briceño;05107;2005;Centros Poblados y Rural Disperso;6.482
05;Antioquia;Briceño;05107;2005;Total;8.475
05;Antioquia;Buriticá;05113;2005;Cabecera Municipal;1.794
05;Antioquia;Buriticá;05113;2005;Centros Poblados y Rural Disperso;6.682
05;Antioquia;Buriticá;05113;2005;Total;8.476
05;Antioquia;Cáceres;05120;2005;Cabecera Municipal;3.947
05;Antioquia;Cáceres;05120;2005;Centros Poblados y Rural Disperso;21.052
05;Antioquia;Cáceres;05120;2005;Total;24.999
05;Antioquia;Caicedo;05125;2005;Cabecera Municipal;1.370
05;Antioquia;Caicedo;05125;2005;Centros Poblados y Rural Disperso;6.388
05;Antioquia;Caicedo;05125;2005;Total;7.758
05;Antioquia;Caldas;05129;2005;Cabecera Municipal;52.306
05;Antioquia;Caldas;05129;2005;Centros Poblados y Rural Disperso;12.789
05;Antioquia;Caldas;05129;2005;Total;65.095
05;Antioquia;Campamento;05134;2005;Cabecera Municipal;2.139
05;Antioquia;Campamento;05134;2005;Centros Poblados y Rural Disperso;7.619
05;Antioquia;Campamento;05134;2005;Total;9.758
05;Antioquia;Cañasgordas;05138;2005;Cabecera Municipal;4.918
05;Antioquia;Cañasgordas;05138;2005;Centros Poblados y Rural Disperso;12.390
05;Antioquia;Cañasgordas;05138;2005;Total;17.308
05;Antioquia;Caracolí;05142;2005;Cabecera Municipal;2.885
05;Antioquia;Caracolí;05142;2005;Centros Poblados y Rural Disperso;2.439
05;Antioquia;Caracolí;05142;2005;Total;5.324
05;Antioquia;Caramanta;05145;2005;Cabecera Municipal;2.513
05;Antioquia;Caramanta;05145;2005;Centros Poblados y Rural Disperso;3.527
05;Antioquia;Caramanta;05145;2005;Total;6.040
05;Antioquia;Carepa;05147;2005;Cabecera Municipal;21.487
05;Antioquia;Carepa;05147;2005;Centros Poblados y Rural Disperso;12.952
05;Antioquia;Carepa;05147;2005;Total;34.439
05;Antioquia;El Carmen de Viboral;05148;2005;Cabecera Municipal;25.694
05;Antioquia;El Carmen de Viboral;05148;2005;Centros Poblados y Rural Disperso;22.551
05;Antioquia;El Carmen de Viboral;05148;2005;Total;48.245
05;Antioquia;Carolina;05150;2005;Cabecera Municipal;2.821
05;Antioquia;Carolina;05150;2005;Centros Poblados y Rural Disperso;1.034
05;Antioquia;Carolina;05150;2005;Total;3.855
05;Antioquia;Caucasia;05154;2005;Cabecera Municipal;56.124
05;Antioquia;Caucasia;05154;2005;Centros Poblados y Rural Disperso;14.506
05;Antioquia;Caucasia;05154;2005;Total;70.630
05;Antioquia;Chigorodó;05172;2005;Cabecera Municipal;34.583
05;Antioquia;Chigorodó;05172;2005;Centros Poblados y Rural Disperso;9.543
05;Antioquia;Chigorodó;05172;2005;Total;44.126
05;Antioquia;Cisneros;05190;2005;Cabecera Municipal;7.973
05;Antioquia;Cisneros;05190;2005;Centros Poblados y Rural Disperso;1.545
05;Antioquia;Cisneros;05190;2005;Total;9.518
05;Antioquia;Cocorná;05197;2005;Cabecera Municipal;5.313
05;Antioquia;Cocorná;05197;2005;Centros Poblados y Rural Disperso;13.781
05;Antioquia;Cocorná;05197;2005;Total;19.094
05;Antioquia;Concepción;05206;2005;Cabecera Municipal;1.613
05;Antioquia;Concepción;05206;2005;Centros Poblados y Rural Disperso;3.835
05;Antioquia;Concepción;05206;2005;Total;5.448
05;Antioquia;Concordia;05209;2005;Cabecera Municipal;7.130
05;Antioquia;Concordia;05209;2005;Centros Poblados y Rural Disperso;14.417
05;Antioquia;Concordia;05209;2005;Total;21.547
05;Antioquia;Copacabana;05212;2005;Cabecera Municipal;48.343
05;Antioquia;Copacabana;05212;2005;Centros Poblados y Rural Disperso;15.035
05;Antioquia;Copacabana;05212;2005;Total;63.378
05;Antioquia;Dabeiba;05234;2005;Cabecera Municipal;8.203
05;Antioquia;Dabeiba;05234;2005;Centros Poblados y Rural Disperso;14.068
05;Antioquia;Dabeiba;05234;2005;Total;22.271
05;Antioquia;Donmatías;05237;2005;Cabecera Municipal;9.439
05;Antioquia;Donmatías;05237;2005;Centros Poblados y Rural Disperso;6.623
05;Antioquia;Donmatías;05237;2005;Total;16.062
05;Antioquia;Ebéjico;05240;2005;Cabecera Municipal;2.055
05;Antioquia;Ebéjico;05240;2005;Centros Poblados y Rural Disperso;11.593
05;Antioquia;Ebéjico;05240;2005;Total;13.648
05;Antioquia;El Bagre;05250;2005;Cabecera Municipal;24.747
05;Antioquia;El Bagre;05250;2005;Centros Poblados y Rural Disperso;14.525
05;Antioquia;El Bagre;05250;2005;Total;39.272
05;Antioquia;Entrerríos;05264;2005;Cabecera Municipal;4.199
05;Antioquia;Entrerríos;05264;2005;Centros Poblados y Rural Disperso;4.784
05;Antioquia;Entrerríos;05264;2005;Total;8.983
05;Antioquia;Envigado;05266;2005;Cabecera Municipal;164.004
05;Antioquia;Envigado;05266;2005;Centros Poblados y Rural Disperso;10.497
05;Antioquia;Envigado;05266;2005;Total;174.501
05;Antioquia;Fredonia;05282;2005;Cabecera Municipal;8.127
05;Antioquia;Fredonia;05282;2005;Centros Poblados y Rural Disperso;16.177
05;Antioquia;Fredonia;05282;2005;Total;24.304
05;Antioquia;Frontino;05284;2005;Cabecera Municipal;7.930
05;Antioquia;Frontino;05284;2005;Centros Poblados y Rural Disperso;14.920
05;Antioquia;Frontino;05284;2005;Total;22.850
05;Antioquia;Giraldo;05306;2005;Cabecera Municipal;1.590
05;Antioquia;Giraldo;05306;2005;Centros Poblados y Rural Disperso;3.302
05;Antioquia;Giraldo;05306;2005;Total;4.892
05;Antioquia;Girardota;05308;2005;Cabecera Municipal;21.941
05;Antioquia;Girardota;05308;2005;Centros Poblados y Rural Disperso;19.229
05;Antioquia;Girardota;05308;2005;Total;41.170
05;Antioquia;Gómez Plata;05310;2005;Cabecera Municipal;4.445
05;Antioquia;Gómez Plata;05310;2005;Centros Poblados y Rural Disperso;5.197
05;Antioquia;Gómez Plata;05310;2005;Total;9.642
05;Antioquia;Granada;05313;2005;Cabecera Municipal;5.401
05;Antioquia;Granada;05313;2005;Centros Poblados y Rural Disperso;8.481
05;Antioquia;Granada;05313;2005;Total;13.882
05;Antioquia;Guadalupe;05315;2005;Cabecera Municipal;1.951
05;Antioquia;Guadalupe;05315;2005;Centros Poblados y Rural Disperso;4.617
05;Antioquia;Guadalupe;05315;2005;Total;6.568
05;Antioquia;Guarne;05318;2005;Cabecera Municipal;13.527
05;Antioquia;Guarne;05318;2005;Centros Poblados y Rural Disperso;29.892
05;Antioquia;Guarne;05318;2005;Total;43.419
05;Antioquia;Guatapé;05321;2005;Cabecera Municipal;4.263
05;Antioquia;Guatapé;05321;2005;Centros Poblados y Rural Disperso;2.496
05;Antioquia;Guatapé;05321;2005;Total;6.759
05;Antioquia;Heliconia;05347;2005;Cabecera Municipal;2.276
05;Antioquia;Heliconia;05347;2005;Centros Poblados y Rural Disperso;4.271
05;Antioquia;Heliconia;05347;2005;Total;6.547
05;Antioquia;Hispania;05353;2005;Cabecera Municipal;2.878
05;Antioquia;Hispania;05353;2005;Centros Poblados y Rural Disperso;2.437
05;Antioquia;Hispania;05353;2005;Total;5.315
05;Antioquia;Itagüí;05360;2005;Cabecera Municipal;203.435
05;Antioquia;Itagüí;05360;2005;Centros Poblados y Rural Disperso;18.486
05;Antioquia;Itagüí;05360;2005;Total;221.921
05;Antioquia;Ituango;05361;2005;Cabecera Municipal;6.045
05;Antioquia;Ituango;05361;2005;Centros Poblados y Rural Disperso;19.982
05;Antioquia;Ituango;05361;2005;Total;26.027
05;Antioquia;Jardín;05364;2005;Cabecera Municipal;6.870
05;Antioquia;Jardín;05364;2005;Centros Poblados y Rural Disperso;6.856
05;Antioquia;Jardín;05364;2005;Total;13.726
05;Antioquia;Jericó;05368;2005;Cabecera Municipal;7.199
05;Antioquia;Jericó;05368;2005;Centros Poblados y Rural Disperso;7.164
05;Antioquia;Jericó;05368;2005;Total;14.363
05;Antioquia;La Ceja;05376;2005;Cabecera Municipal;40.835
05;Antioquia;La Ceja;05376;2005;Centros Poblados y Rural Disperso;9.862
05;Antioquia;La Ceja;05376;2005;Total;50.697
05;Antioquia;La Estrella;05380;2005;Cabecera Municipal;43.086
05;Antioquia;La Estrella;05380;2005;Centros Poblados y Rural Disperso;12.298
05;Antioquia;La Estrella;05380;2005;Total;55.384
05;Antioquia;La Pintada;05390;2005;Cabecera Municipal;6.278
05;Antioquia;La Pintada;05390;2005;Centros Poblados y Rural Disperso;3.684
05;Antioquia;La Pintada;05390;2005;Total;9.962
05;Antioquia;La Unión;05400;2005;Cabecera Municipal;9.471
05;Antioquia;La Unión;05400;2005;Centros Poblados y Rural Disperso;9.139
05;Antioquia;La Unión;05400;2005;Total;18.610
05;Antioquia;Liborina;05411;2005;Cabecera Municipal;2.205
05;Antioquia;Liborina;05411;2005;Centros Poblados y Rural Disperso;8.304
05;Antioquia;Liborina;05411;2005;Total;10.509
05;Antioquia;Maceo;05425;2005;Cabecera Municipal;2.947
05;Antioquia;Maceo;05425;2005;Centros Poblados y Rural Disperso;5.741
05;Antioquia;Maceo;05425;2005;Total;8.688
05;Antioquia;Marinilla;05440;2005;Cabecera Municipal;31.559
05;Antioquia;Marinilla;05440;2005;Centros Poblados y Rural Disperso;20.683
05;Antioquia;Marinilla;05440;2005;Total;52.242
05;Antioquia;Montebello;05467;2005;Cabecera Municipal;1.711
05;Antioquia;Montebello;05467;2005;Centros Poblados y Rural Disperso;6.134
05;Antioquia;Montebello;05467;2005;Total;7.845
05;Antioquia;Murindó;05475;2005;Cabecera Municipal;1.299
05;Antioquia;Murindó;05475;2005;Centros Poblados y Rural Disperso;2.312
05;Antioquia;Murindó;05475;2005;Total;3.611
05;Antioquia;Mutatá;05480;2005;Cabecera Municipal;3.886
05;Antioquia;Mutatá;05480;2005;Centros Poblados y Rural Disperso;8.289
05;Antioquia;Mutatá;05480;2005;Total;12.175
05;Antioquia;Nariño;05483;2005;Cabecera Municipal;3.052
05;Antioquia;Nariño;05483;2005;Centros Poblados y Rural Disperso;9.580
05;Antioquia;Nariño;05483;2005;Total;12.632
05;Antioquia;Necoclí;05490;2005;Cabecera Municipal;8.682
05;Antioquia;Necoclí;05490;2005;Centros Poblados y Rural Disperso;27.784
05;Antioquia;Necoclí;05490;2005;Total;36.466
05;Antioquia;Nechí;05495;2005;Cabecera Municipal;9.801
05;Antioquia;Nechí;05495;2005;Centros Poblados y Rural Disperso;10.378
05;Antioquia;Nechí;05495;2005;Total;20.179
05;Antioquia;Olaya;05501;2005;Cabecera Municipal;262
05;Antioquia;Olaya;05501;2005;Centros Poblados y Rural Disperso;2.962
05;Antioquia;Olaya;05501;2005;Total;3.224
05;Antioquia;Peñol;05541;2005;Cabecera Municipal;8.428
05;Antioquia;Peñol;05541;2005;Centros Poblados y Rural Disperso;10.070
05;Antioquia;Peñol;05541;2005;Total;18.498
05;Antioquia;Peque;05543;2005;Cabecera Municipal;1.708
05;Antioquia;Peque;05543;2005;Centros Poblados y Rural Disperso;6.114
05;Antioquia;Peque;05543;2005;Total;7.822
05;Antioquia;Pueblorrico;05576;2005;Cabecera Municipal;4.112
05;Antioquia;Pueblorrico;05576;2005;Centros Poblados y Rural Disperso;4.857
05;Antioquia;Pueblorrico;05576;2005;Total;8.969
05;Antioquia;Puerto Berrío;05579;2005;Cabecera Municipal;27.955
05;Antioquia;Puerto Berrío;05579;2005;Centros Poblados y Rural Disperso;6.773
05;Antioquia;Puerto Berrío;05579;2005;Total;34.728
05;Antioquia;Puerto Nare;05585;2005;Cabecera Municipal;4.104
05;Antioquia;Puerto Nare;05585;2005;Centros Poblados y Rural Disperso;11.067
05;Antioquia;Puerto Nare;05585;2005;Total;15.171
05;Antioquia;Puerto Triunfo;05591;2005;Cabecera Municipal;2.382
05;Antioquia;Puerto Triunfo;05591;2005;Centros Poblados y Rural Disperso;11.754
05;Antioquia;Puerto Triunfo;05591;2005;Total;14.136
05;Antioquia;Remedios;05604;2005;Cabecera Municipal;8.650
05;Antioquia;Remedios;05604;2005;Centros Poblados y Rural Disperso;16.135
05;Antioquia;Remedios;05604;2005;Total;24.785
05;Antioquia;Retiro;05607;2005;Cabecera Municipal;9.327
05;Antioquia;Retiro;05607;2005;Centros Poblados y Rural Disperso;9.474
05;Antioquia;Retiro;05607;2005;Total;18.801
05;Antioquia;Rionegro;05615;2005;Cabecera Municipal;58.206
05;Antioquia;Rionegro;05615;2005;Centros Poblados y Rural Disperso;47.478
05;Antioquia;Rionegro;05615;2005;Total;105.684
05;Antioquia;Sabanalarga;05628;2005;Cabecera Municipal;2.406
05;Antioquia;Sabanalarga;05628;2005;Centros Poblados y Rural Disperso;6.135
05;Antioquia;Sabanalarga;05628;2005;Total;8.541
05;Antioquia;Sabaneta;05631;2005;Cabecera Municipal;48.652
05;Antioquia;Sabaneta;05631;2005;Centros Poblados y Rural Disperso;9.465
05;Antioquia;Sabaneta;05631;2005;Total;58.117
05;Antioquia;Salgar;05642;2005;Cabecera Municipal;6.414
05;Antioquia;Salgar;05642;2005;Centros Poblados y Rural Disperso;13.470
05;Antioquia;Salgar;05642;2005;Total;19.884
05;Antioquia;San Andrés de Cuerquía;05647;2005;Cabecera Municipal;2.341
05;Antioquia;San Andrés de Cuerquía;05647;2005;Centros Poblados y Rural Disperso;5.358
05;Antioquia;San Andrés de Cuerquía;05647;2005;Total;7.699
05;Antioquia;San Carlos;05649;2005;Cabecera Municipal;7.967
05;Antioquia;San Carlos;05649;2005;Centros Poblados y Rural Disperso;12.436
05;Antioquia;San Carlos;05649;2005;Total;20.403
05;Antioquia;San Francisco;05652;2005;Cabecera Municipal;2.287
05;Antioquia;San Francisco;05652;2005;Centros Poblados y Rural Disperso;3.703
05;Antioquia;San Francisco;05652;2005;Total;5.990
05;Antioquia;San Jerónimo;05656;2005;Cabecera Municipal;4.845
05;Antioquia;San Jerónimo;05656;2005;Centros Poblados y Rural Disperso;8.625
05;Antioquia;San Jerónimo;05656;2005;Total;13.470
05;Antioquia;San José de La Montaña;05658;2005;Cabecera Municipal;2.216
05;Antioquia;San José de La Montaña;05658;2005;Centros Poblados y Rural Disperso;1.018
05;Antioquia;San José de La Montaña;05658;2005;Total;3.234
05;Antioquia;San Juan de Urabá;05659;2005;Cabecera Municipal;5.777
05;Antioquia;San Juan de Urabá;05659;2005;Centros Poblados y Rural Disperso;10.556
05;Antioquia;San Juan de Urabá;05659;2005;Total;16.333
05;Antioquia;San Luis;05660;2005;Cabecera Municipal;5.861
05;Antioquia;San Luis;05660;2005;Centros Poblados y Rural Disperso;7.637
05;Antioquia;San Luis;05660;2005;Total;13.498
05;Antioquia;San Pedro de Los Milagros;05664;2005;Cabecera Municipal;9.066
05;Antioquia;San Pedro de Los Milagros;05664;2005;Centros Poblados y Rural Disperso;9.855
05;Antioquia;San Pedro de Los Milagros;05664;2005;Total;18.921
05;Antioquia;San Pedro de Urabá;05665;2005;Cabecera Municipal;9.350
05;Antioquia;San Pedro de Urabá;05665;2005;Centros Poblados y Rural Disperso;18.275
05;Antioquia;San Pedro de Urabá;05665;2005;Total;27.625
05;Antioquia;San Rafael;05667;2005;Cabecera Municipal;7.619
05;Antioquia;San Rafael;05667;2005;Centros Poblados y Rural Disperso;9.097
05;Antioquia;San Rafael;05667;2005;Total;16.716
05;Antioquia;San Roque;05670;2005;Cabecera Municipal;5.500
05;Antioquia;San Roque;05670;2005;Centros Poblados y Rural Disperso;15.424
05;Antioquia;San Roque;05670;2005;Total;20.924
05;Antioquia;San Vicente;05674;2005;Cabecera Municipal;4.383
05;Antioquia;San Vicente;05674;2005;Centros Poblados y Rural Disperso;17.378
05;Antioquia;San Vicente;05674;2005;Total;21.761
05;Antioquia;Santa Bárbara;05679;2005;Cabecera Municipal;10.515
05;Antioquia;Santa Bárbara;05679;2005;Centros Poblados y Rural Disperso;17.754
05;Antioquia;Santa Bárbara;05679;2005;Total;28.269
05;Antioquia;Santa Rosa de Osos;05686;2005;Cabecera Municipal;14.966
05;Antioquia;Santa Rosa de Osos;05686;2005;Centros Poblados y Rural Disperso;16.746
05;Antioquia;Santa Rosa de Osos;05686;2005;Total;31.712
05;Antioquia;Santo Domingo;05690;2005;Cabecera Municipal;2.800
05;Antioquia;Santo Domingo;05690;2005;Centros Poblados y Rural Disperso;11.159
05;Antioquia;Santo Domingo;05690;2005;Total;13.959
05;Antioquia;El Santuario;05697;2005;Cabecera Municipal;19.206
05;Antioquia;El Santuario;05697;2005;Centros Poblados y Rural Disperso;11.619
05;Antioquia;El Santuario;05697;2005;Total;30.825
05;Antioquia;Segovia;05736;2005;Cabecera Municipal;24.092
05;Antioquia;Segovia;05736;2005;Centros Poblados y Rural Disperso;7.371
05;Antioquia;Segovia;05736;2005;Total;31.463
05;Antioquia;Sonsón;05756;2005;Cabecera Municipal;16.473
05;Antioquia;Sonsón;05756;2005;Centros Poblados y Rural Disperso;21.672
05;Antioquia;Sonsón;05756;2005;Total;38.145
05;Antioquia;Sopetrán;05761;2005;Cabecera Municipal;5.808
05;Antioquia;Sopetrán;05761;2005;Centros Poblados y Rural Disperso;8.478
05;Antioquia;Sopetrán;05761;2005;Total;14.286
05;Antioquia;Támesis;05789;2005;Cabecera Municipal;6.725
05;Antioquia;Támesis;05789;2005;Centros Poblados y Rural Disperso;11.534
05;Antioquia;Támesis;05789;2005;Total;18.259
05;Antioquia;Tarazá;05790;2005;Cabecera Municipal;9.923
05;Antioquia;Tarazá;05790;2005;Centros Poblados y Rural Disperso;12.218
05;Antioquia;Tarazá;05790;2005;Total;22.141
05;Antioquia;Tarso;05792;2005;Cabecera Municipal;3.015
05;Antioquia;Tarso;05792;2005;Centros Poblados y Rural Disperso;3.511
05;Antioquia;Tarso;05792;2005;Total;6.526
05;Antioquia;Titiribí;05809;2005;Cabecera Municipal;4.200
05;Antioquia;Titiribí;05809;2005;Centros Poblados y Rural Disperso;7.954
05;Antioquia;Titiribí;05809;2005;Total;12.154
05;Antioquia;Toledo;05819;2005;Cabecera Municipal;1.376
05;Antioquia;Toledo;05819;2005;Centros Poblados y Rural Disperso;4.220
05;Antioquia;Toledo;05819;2005;Total;5.596
05;Antioquia;Turbo;05837;2005;Cabecera Municipal;39.770
05;Antioquia;Turbo;05837;2005;Centros Poblados y Rural Disperso;63.822
05;Antioquia;Turbo;05837;2005;Total;103.592
05;Antioquia;Uramita;05842;2005;Cabecera Municipal;1.944
05;Antioquia;Uramita;05842;2005;Centros Poblados y Rural Disperso;5.746
05;Antioquia;Uramita;05842;2005;Total;7.690
05;Antioquia;Urrao;05847;2005;Cabecera Municipal;13.779
05;Antioquia;Urrao;05847;2005;Centros Poblados y Rural Disperso;15.296
05;Antioquia;Urrao;05847;2005;Total;29.075
05;Antioquia;Valdivia;05854;2005;Cabecera Municipal;3.243
05;Antioquia;Valdivia;05854;2005;Centros Poblados y Rural Disperso;10.353
05;Antioquia;Valdivia;05854;2005;Total;13.596
05;Antioquia;Valparaíso;05856;2005;Cabecera Municipal;3.400
05;Antioquia;Valparaíso;05856;2005;Centros Poblados y Rural Disperso;4.563
05;Antioquia;Valparaíso;05856;2005;Total;7.963
05;Antioquia;Vegachí;05858;2005;Cabecera Municipal;6.113
05;Antioquia;Vegachí;05858;2005;Centros Poblados y Rural Disperso;5.920
05;Antioquia;Vegachí;05858;2005;Total;12.033
05;Antioquia;Venecia;05861;2005;Cabecera Municipal;4.776
05;Antioquia;Venecia;05861;2005;Centros Poblados y Rural Disperso;7.365
05;Antioquia;Venecia;05861;2005;Total;12.141
05;Antioquia;Vigía del Fuerte;05873;2005;Cabecera Municipal;2.396
05;Antioquia;Vigía del Fuerte;05873;2005;Centros Poblados y Rural Disperso;5.722
05;Antioquia;Vigía del Fuerte;05873;2005;Total;8.118
05;Antioquia;Yalí;05885;2005;Cabecera Municipal;3.248
05;Antioquia;Yalí;05885;2005;Centros Poblados y Rural Disperso;4.421
05;Antioquia;Yalí;05885;2005;Total;7.669
05;Antioquia;Yarumal;05887;2005;Cabecera Municipal;25.172
05;Antioquia;Yarumal;05887;2005;Centros Poblados y Rural Disperso;13.364
05;Antioquia;Yarumal;05887;2005;Total;38.536
05;Antioquia;Yolombó;05890;2005;Cabecera Municipal;6.074
05;Antioquia;Yolombó;05890;2005;Centros Poblados y Rural Disperso;16.186
05;Antioquia;Yolombó;05890;2005;Total;22.260
05;Antioquia;Yondó;05893;2005;Cabecera Municipal;6.767
05;Antioquia;Yondó;05893;2005;Centros Poblados y Rural Disperso;7.692
05;Antioquia;Yondó;05893;2005;Total;14.459
05;Antioquia;Zaragoza;05895;2005;Cabecera Municipal;11.459
05;Antioquia;Zaragoza;05895;2005;Centros Poblados y Rural Disperso;12.229
05;Antioquia;Zaragoza;05895;2005;Total;23.688
08;Atlántico;Barranquilla;08001;2005;Cabecera Municipal;1.089.069
08;Atlántico;Barranquilla;08001;2005;Centros Poblados y Rural Disperso;1.866
08;Atlántico;Barranquilla;08001;2005;Total;1.090.935
08;Atlántico;Baranoa;08078;2005;Cabecera Municipal;42.469
08;Atlántico;Baranoa;08078;2005;Centros Poblados y Rural Disperso;9.079
08;Atlántico;Baranoa;08078;2005;Total;51.548
08;Atlántico;Campo de La Cruz;08137;2005;Cabecera Municipal;21.211
08;Atlántico;Campo de La Cruz;08137;2005;Centros Poblados y Rural Disperso;2.561
08;Atlántico;Campo de La Cruz;08137;2005;Total;23.772
08;Atlántico;Candelaria;08141;2005;Cabecera Municipal;9.249
08;Atlántico;Candelaria;08141;2005;Centros Poblados y Rural Disperso;3.993
08;Atlántico;Candelaria;08141;2005;Total;13.242
08;Atlántico;Galapa;08296;2005;Cabecera Municipal;39.728
08;Atlántico;Galapa;08296;2005;Centros Poblados y Rural Disperso;3.079
08;Atlántico;Galapa;08296;2005;Total;42.807
08;Atlántico;Juan de Acosta;08372;2005;Cabecera Municipal;10.029
08;Atlántico;Juan de Acosta;08372;2005;Centros Poblados y Rural Disperso;6.528
08;Atlántico;Juan de Acosta;08372;2005;Total;16.557
08;Atlántico;Luruaco;08421;2005;Cabecera Municipal;11.690
08;Atlántico;Luruaco;08421;2005;Centros Poblados y Rural Disperso;12.376
08;Atlántico;Luruaco;08421;2005;Total;24.066
08;Atlántico;Malambo;08433;2005;Cabecera Municipal;92.896
08;Atlántico;Malambo;08433;2005;Centros Poblados y Rural Disperso;6.447
08;Atlántico;Malambo;08433;2005;Total;99.343
08;Atlántico;Manatí;08436;2005;Cabecera Municipal;16.577
08;Atlántico;Manatí;08436;2005;Centros Poblados y Rural Disperso;1.579
08;Atlántico;Manatí;08436;2005;Total;18.156
08;Atlántico;Palmar de Varela;08520;2005;Cabecera Municipal;22.355
08;Atlántico;Palmar de Varela;08520;2005;Centros Poblados y Rural Disperso;995
08;Atlántico;Palmar de Varela;08520;2005;Total;23.350
08;Atlántico;Piojó;08549;2005;Cabecera Municipal;2.312
08;Atlántico;Piojó;08549;2005;Centros Poblados y Rural Disperso;3.089
08;Atlántico;Piojó;08549;2005;Total;5.401
08;Atlántico;Polonuevo;08558;2005;Cabecera Municipal;12.401
08;Atlántico;Polonuevo;08558;2005;Centros Poblados y Rural Disperso;2.596
08;Atlántico;Polonuevo;08558;2005;Total;14.997
